project_name,project_url,Aggregate,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
coala/git-url-parse,https://github.com/coala/git-url-parse,2.7,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
cocagne/pysrp,https://github.com/cocagne/pysrp,4.2,10,0,0,0,6,3,-1,0,0,10,9,-1,-1,0,0,-1,-1,10
coderedcorp/coderedcms,https://github.com/coderedcorp/coderedcms,3.1,10,0,8,0,2,3,-1,0,0,9,0,-1,-1,0,0,-1,-1,10
coleifer/sqlite-web,https://github.com/coleifer/sqlite-web,2.8,10,0,0,0,1,0,-1,0,0,10,4,-1,0,0,0,-1,-1,10
collective/collective.contact.widget,https://github.com/collective/collective.contact.widget,2.5,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10
collective/collective.dms.basecontent,https://github.com/collective/collective.dms.basecontent,2.3,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,8
collective/collective.task,https://github.com/collective/collective.task,2.3,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,8
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,5.8,10,7,10,0,9,10,10,10,0,10,0,10,0,0,0,-1,0,10
corydolphin/flask-cors,https://github.com/corydolphin/flask-cors,5.3,10,3,2,0,6,10,10,10,0,10,6,10,0,0,0,-1,0,7
crossbario/autobahn-python,https://github.com/crossbario/autobahn-python,4.2,10,3,2,0,4,10,10,0,0,10,0,10,0,0,0,-1,0,10
csaf-tools/cvrf-csaf-converter,https://github.com/csaf-tools/cvrf-csaf-converter,4.4,10,6,0,0,5,6,10,0,0,10,0,-1,0,7,0,-1,0,10
cvxopt/cvxopt,https://github.com/cvxopt/cvxopt,3.5,10,3,1,0,3,0,10,0,0,9,0,-1,0,0,0,-1,0,10
cyanomiko/dcnnt-py,https://github.com/cyanomiko/dcnnt-py,2.5,10,0,0,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
cyber-domain-ontology/cdo-utility-local-uuid,https://github.com/cyber-domain-ontology/cdo-utility-local-uuid,4.3,10,0,10,0,5,10,10,0,0,10,5,-1,0,0,0,-1,0,10
cyface/django-termsandconditions,https://github.com/cyface/django-termsandconditions,5.3,10,0,10,0,-1,10,10,10,0,10,7,-1,0,0,0,-1,0,10
d0c-s4vage/lookatme,https://github.com/d0c-s4vage/lookatme,3,10,3,0,0,1,0,10,0,0,10,0,-1,0,0,0,0,0,10
danijar/definitions,https://github.com/danijar/definitions,2.4,10,0,-1,0,0,6,-1,0,0,0,0,-1,-1,0,0,-1,-1,10
darrenofficial/dpaste,https://github.com/darrenofficial/dpaste,5.5,10,6,1,0,2,10,10,10,0,10,3,10,0,7,0,-1,0,9
davedoesdev/python-jwt,https://github.com/davedoesdev/python-jwt,2.8,10,0,-1,0,0,0,10,0,0,10,0,-1,0,0,0,-1,0,7
dbcli/mycli,https://github.com/dbcli/mycli,4.1,10,0,7,0,6,10,10,0,0,9,0,-1,0,3,0,-1,0,10
ddmal/mei2volpiano,https://github.com/ddmal/mei2volpiano,3.3,10,6,0,0,5,10,10,0,0,10,0,-1,0,0,0,-1,0,0
dedsecinside/torbot,https://github.com/dedsecinside/torbot,4.5,10,1,10,0,1,10,10,10,0,9,2,-1,0,6,0,0,0,9
deluge-torrent/deluge,https://github.com/deluge-torrent/deluge,4.1,10,0,-1,0,0,10,10,0,0,9,10,-1,0,0,0,-1,0,10
devsnd/cherrymusic,https://github.com/devsnd/cherrymusic,3,10,0,0,0,1,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
dexter2206/ymlref,https://github.com/dexter2206/ymlref,2.6,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
dgilland/pydash,https://github.com/dgilland/pydash,3.6,10,0,10,0,3,6,10,0,0,10,0,-1,0,0,0,-1,0,10
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,5.5,10,0,10,0,1,0,10,10,0,10,10,10,0,7,0,-1,0,9
diffsk/configobj,https://github.com/diffsk/configobj,4.2,10,3,3,0,2,10,10,0,0,9,10,-1,0,0,0,0,0,10
divio/django-cms,https://github.com/divio/django-cms,6.2,10,6,10,0,10,10,10,10,0,10,10,10,0,7,0,-1,0,0
